|                    Item name                    |                                                                                     Input Items                                                                                      |                                                                                     Output Items                                                                                     | GP Cost |
|                           Unpack black set (lg) |                                                                                  1x Black set (lg)                                                                                   | 1x Black full helm, 1x Black kiteshield, 1x Black platebody, 1x Black platelegs                                                                                                      |       0 |
|                                  Black set (lg) |                                                   1x Black full helm, 1x Black kiteshield, 1x Black platebody, 1x Black platelegs                                                    | 1x Black set (lg)                                                                                                                                                                    |       0 |
|                           Unpack black set (sk) |                                                                                  1x Black set (sk)                                                                                   | 1x Black full helm, 1x Black kiteshield, 1x Black platebody, 1x Black plateskirt                                                                                                     |       0 |
|                                  Black set (sk) |                                                   1x Black full helm, 1x Black kiteshield, 1x Black platebody, 1x Black plateskirt                                                   | 1x Black set (sk)                                                                                                                                                                    |       0 |
|                   Unpack black trimmed set (lg) |                                                                              1x Black trimmed set (lg)                                                                               | 1x Black full helm (t), 1x Black kiteshield (t), 1x Black platebody (t), 1x Black platelegs (t)                                                                                      |       0 |
|                          Black trimmed set (lg) |                                           1x Black full helm (t), 1x Black kiteshield (t), 1x Black platebody (t), 1x Black platelegs (t)                                            | 1x Black trimmed set (lg)                                                                                                                                                            |       0 |
|                   Unpack black trimmed set (sk) |                                                                              1x Black trimmed set (sk)                                                                               | 1x Black full helm (t), 1x Black kiteshield (t), 1x Black platebody (t), 1x Black plateskirt (t)                                                                                     |       0 |
|                          Black trimmed set (sk) |                                           1x Black full helm (t), 1x Black kiteshield (t), 1x Black platebody (t), 1x Black plateskirt (t)                                           | 1x Black trimmed set (sk)                                                                                                                                                            |       0 |
|              Unpack black gold-trimmed set (lg) |                                                                            1x Black gold-trimmed set (lg)                                                                            | 1x Black full helm (g), 1x Black kiteshield (g), 1x Black platebody (g), 1x Black platelegs (g)                                                                                      |       0 |
|                     Black gold-trimmed set (lg) |                                           1x Black full helm (g), 1x Black kiteshield (g), 1x Black platebody (g), 1x Black platelegs (g)                                            | 1x Black gold-trimmed set (lg)                                                                                                                                                       |       0 |
|              Unpack black gold-trimmed set (sk) |                                                                            1x Black gold-trimmed set (sk)                                                                            | 1x Black full helm (g), 1x Black kiteshield (g), 1x Black platebody (g), 1x Black plateskirt (g)                                                                                     |       0 |
|                     Black gold-trimmed set (sk) |                                           1x Black full helm (g), 1x Black kiteshield (g), 1x Black platebody (g), 1x Black plateskirt (g)                                           | 1x Black gold-trimmed set (sk)                                                                                                                                                       |       0 |
|                         Unpack mithril set (lg) |                                                                                 1x Mithril set (lg)                                                                                  | 1x Mithril full helm, 1x Mithril kiteshield, 1x Mithril platebody, 1x Mithril platelegs                                                                                              |       0 |
|                                Mithril set (lg) |                                               1x Mithril full helm, 1x Mithril kiteshield, 1x Mithril platebody, 1x Mithril platelegs                                                | 1x Mithril set (lg)                                                                                                                                                                  |       0 |
|                         Unpack mithril set (sk) |                                                                                 1x Mithril set (sk)                                                                                  | 1x Mithril full helm, 1x Mithril kiteshield, 1x Mithril platebody, 1x Mithril plateskirt                                                                                             |       0 |
|                                Mithril set (sk) |                                               1x Mithril full helm, 1x Mithril kiteshield, 1x Mithril platebody, 1x Mithril plateskirt                                               | 1x Mithril set (sk)                                                                                                                                                                  |       0 |
|                 Unpack mithril trimmed set (lg) |                                                                             1x Mithril trimmed set (lg)                                                                              | 1x Mithril full helm (t), 1x Mithril kiteshield (t), 1x Mithril platebody (t), 1x Mithril platelegs (t)                                                                              |       0 |
|                        Mithril trimmed set (lg) |                                       1x Mithril full helm (t), 1x Mithril kiteshield (t), 1x Mithril platebody (t), 1x Mithril platelegs (t)                                        | 1x Mithril trimmed set (lg)                                                                                                                                                          |       0 |
|                 Unpack mithril trimmed set (sk) |                                                                             1x Mithril trimmed set (sk)                                                                              | 1x Mithril full helm (t), 1x Mithril kiteshield (t), 1x Mithril platebody (t), 1x Mithril plateskirt (t)                                                                             |       0 |
|                        Mithril trimmed set (sk) |                                       1x Mithril full helm (t), 1x Mithril kiteshield (t), 1x Mithril platebody (t), 1x Mithril plateskirt (t)                                       | 1x Mithril trimmed set (sk)                                                                                                                                                          |       0 |
|            Unpack mithril gold-trimmed set (lg) |                                                                           1x Mithril gold-trimmed set (lg)                                                                           | 1x Mithril full helm (g), 1x Mithril kiteshield (g), 1x Mithril platebody (g), 1x Mithril platelegs (g)                                                                              |       0 |
|                   Mithril gold-trimmed set (lg) |                                       1x Mithril full helm (g), 1x Mithril kiteshield (g), 1x Mithril platebody (g), 1x Mithril platelegs (g)                                        | 1x Mithril gold-trimmed set (lg)                                                                                                                                                     |       0 |
|            Unpack mithril gold-trimmed set (sk) |                                                                           1x Mithril gold-trimmed set (sk)                                                                           | 1x Mithril full helm (g), 1x Mithril kiteshield (g), 1x Mithril platebody (g), 1x Mithril plateskirt (g)                                                                             |       0 |
|                   Mithril gold-trimmed set (sk) |                                       1x Mithril full helm (g), 1x Mithril kiteshield (g), 1x Mithril platebody (g), 1x Mithril plateskirt (g)                                       | 1x Mithril gold-trimmed set (sk)                                                                                                                                                     |       0 |
|                         Unpack adamant set (lg) |                                                                                 1x Adamant set (lg)                                                                                  | 1x Adamant full helm, 1x Adamant kiteshield, 1x Adamant platebody, 1x Adamant platelegs                                                                                              |       0 |
|                                Adamant set (lg) |                                               1x Adamant full helm, 1x Adamant kiteshield, 1x Adamant platebody, 1x Adamant platelegs                                                | 1x Adamant set (lg)                                                                                                                                                                  |       0 |
|                         Unpack adamant set (sk) |                                                                                 1x Adamant set (sk)                                                                                  | 1x Adamant full helm, 1x Adamant kiteshield, 1x Adamant platebody, 1x Adamant plateskirt                                                                                             |       0 |
|                                Adamant set (sk) |                                               1x Adamant full helm, 1x Adamant kiteshield, 1x Adamant platebody, 1x Adamant plateskirt                                               | 1x Adamant set (sk)                                                                                                                                                                  |       0 |
|                 Unpack adamant trimmed set (lg) |                                                                             1x Adamant trimmed set (lg)                                                                              | 1x Adamant full helm (t), 1x Adamant kiteshield (t), 1x Adamant platebody (t), 1x Adamant platelegs (t)                                                                              |       0 |
|                        Adamant trimmed set (lg) |                                       1x Adamant full helm (t), 1x Adamant kiteshield (t), 1x Adamant platebody (t), 1x Adamant platelegs (t)                                        | 1x Adamant trimmed set (lg)                                                                                                                                                          |       0 |
|                 Unpack adamant trimmed set (sk) |                                                                             1x Adamant trimmed set (sk)                                                                              | 1x Adamant full helm (t), 1x Adamant kiteshield (t), 1x Adamant platebody (t), 1x Adamant plateskirt (t)                                                                             |       0 |
|                        Adamant trimmed set (sk) |                                       1x Adamant full helm (t), 1x Adamant kiteshield (t), 1x Adamant platebody (t), 1x Adamant plateskirt (t)                                       | 1x Adamant trimmed set (sk)                                                                                                                                                          |       0 |
|            Unpack adamant gold-trimmed set (lg) |                                                                           1x Adamant gold-trimmed set (lg)                                                                           | 1x Adamant full helm (g), 1x Adamant kiteshield (g), 1x Adamant platebody (g), 1x Adamant platelegs (g)                                                                              |       0 |
|                   Adamant gold-trimmed set (lg) |                                       1x Adamant full helm (g), 1x Adamant kiteshield (g), 1x Adamant platebody (g), 1x Adamant platelegs (g)                                        | 1x Adamant gold-trimmed set (lg)                                                                                                                                                     |       0 |
|            Unpack adamant gold-trimmed set (sk) |                                                                           1x Adamant gold-trimmed set (sk)                                                                           | 1x Adamant full helm (g), 1x Adamant kiteshield (g), 1x Adamant platebody (g), 1x Adamant plateskirt (g)                                                                             |       0 |
|                   Adamant gold-trimmed set (sk) |                                       1x Adamant full helm (g), 1x Adamant kiteshield (g), 1x Adamant platebody (g), 1x Adamant plateskirt (g)                                       | 1x Adamant gold-trimmed set (sk)                                                                                                                                                     |       0 |
|                     Unpack rune armour set (lg) |                                                                               1x Rune armour set (lg)                                                                                | 1x Rune full helm, 1x Rune kiteshield, 1x Rune platebody, 1x Rune platelegs                                                                                                          |       0 |
|                            Rune armour set (lg) |                                                     1x Rune full helm, 1x Rune kiteshield, 1x Rune platebody, 1x Rune platelegs                                                      | 1x Rune armour set (lg)                                                                                                                                                              |       0 |
|                     Unpack rune armour set (sk) |                                                                               1x Rune armour set (sk)                                                                                | 1x Rune full helm, 1x Rune kiteshield, 1x Rune platebody, 1x Rune plateskirt                                                                                                         |       0 |
|                            Rune armour set (sk) |                                                     1x Rune full helm, 1x Rune kiteshield, 1x Rune platebody, 1x Rune plateskirt                                                     | 1x Rune armour set (sk)                                                                                                                                                              |       0 |
|                    Unpack rune trimmed set (lg) |                                                                               1x Rune trimmed set (lg)                                                                               | 1x Rune full helm (t), 1x Rune kiteshield (t), 1x Rune platebody (t), 1x Rune platelegs (t)                                                                                          |       0 |
|                           Rune trimmed set (lg) |                                             1x Rune full helm (t), 1x Rune kiteshield (t), 1x Rune platebody (t), 1x Rune platelegs (t)                                              | 1x Rune trimmed set (lg)                                                                                                                                                             |       0 |
|                    Unpack rune trimmed set (sk) |                                                                               1x Rune trimmed set (sk)                                                                               | 1x Rune full helm (t), 1x Rune kiteshield (t), 1x Rune platebody (t), 1x Rune plateskirt (t)                                                                                         |       0 |
|                           Rune trimmed set (sk) |                                             1x Rune full helm (t), 1x Rune kiteshield (t), 1x Rune platebody (t), 1x Rune plateskirt (t)                                             | 1x Rune trimmed set (sk)                                                                                                                                                             |       0 |
|               Unpack rune gold-trimmed set (lg) |                                                                            1x Rune gold-trimmed set (lg)                                                                             | 1x Rune full helm (g), 1x Rune kiteshield (g), 1x Rune platebody (g), 1x Rune platelegs (g)                                                                                          |       0 |
|                      Rune gold-trimmed set (lg) |                                             1x Rune full helm (g), 1x Rune kiteshield (g), 1x Rune platebody (g), 1x Rune platelegs (g)                                              | 1x Rune gold-trimmed set (lg)                                                                                                                                                        |       0 |
|               Unpack rune gold-trimmed set (sk) |                                                                            1x Rune gold-trimmed set (sk)                                                                             | 1x Rune full helm (g), 1x Rune kiteshield (g), 1x Rune platebody (g), 1x Rune plateskirt (g)                                                                                         |       0 |
|                      Rune gold-trimmed set (sk) |                                             1x Rune full helm (g), 1x Rune kiteshield (g), 1x Rune platebody (g), 1x Rune plateskirt (g)                                             | 1x Rune gold-trimmed set (sk)                                                                                                                                                        |       0 |
|                   Unpack gilded armour set (lg) |                                                                              1x Gilded armour set (lg)                                                                               | 1x Gilded full helm, 1x Gilded kiteshield, 1x Gilded platebody, 1x Gilded platelegs                                                                                                  |       0 |
|                          Gilded armour set (lg) |                                                 1x Gilded full helm, 1x Gilded kiteshield, 1x Gilded platebody, 1x Gilded platelegs                                                  | 1x Gilded armour set (lg)                                                                                                                                                            |       0 |
|                   Unpack gilded armour set (sk) |                                                                              1x Gilded armour set (sk)                                                                               | 1x Gilded full helm, 1x Gilded kiteshield, 1x Gilded platebody, 1x Gilded plateskirt                                                                                                 |       0 |
|                          Gilded armour set (sk) |                                                 1x Gilded full helm, 1x Gilded kiteshield, 1x Gilded platebody, 1x Gilded plateskirt                                                 | 1x Gilded armour set (sk)                                                                                                                                                            |       0 |
|                   Unpack guthix armour set (lg) |                                                                              1x Guthix armour set (lg)                                                                               | 1x Guthix full helm, 1x Guthix kiteshield, 1x Guthix platebody, 1x Guthix platelegs                                                                                                  |       0 |
|                          Guthix armour set (lg) |                                                 1x Guthix full helm, 1x Guthix kiteshield, 1x Guthix platebody, 1x Guthix platelegs                                                  | 1x Guthix armour set (lg)                                                                                                                                                            |       0 |
|                   Unpack guthix armour set (sk) |                                                                              1x Guthix armour set (sk)                                                                               | 1x Guthix full helm, 1x Guthix kiteshield, 1x Guthix platebody, 1x Guthix plateskirt                                                                                                 |       0 |
|                          Guthix armour set (sk) |                                                 1x Guthix full helm, 1x Guthix kiteshield, 1x Guthix platebody, 1x Guthix plateskirt                                                 | 1x Guthix armour set (sk)                                                                                                                                                            |       0 |
|                Unpack saradomin armour set (lg) |                                                                             1x Saradomin armour set (lg)                                                                             | 1x Saradomin full helm, 1x Saradomin kiteshield, 1x Saradomin platebody, 1x Saradomin platelegs                                                                                      |       0 |
|                       Saradomin armour set (lg) |                                           1x Saradomin full helm, 1x Saradomin kiteshield, 1x Saradomin platebody, 1x Saradomin platelegs                                            | 1x Saradomin armour set (lg)                                                                                                                                                         |       0 |
|                Unpack saradomin armour set (sk) |                                                                             1x Saradomin armour set (sk)                                                                             | 1x Saradomin full helm, 1x Saradomin kiteshield, 1x Saradomin platebody, 1x Saradomin plateskirt                                                                                     |       0 |
|                       Saradomin armour set (sk) |                                           1x Saradomin full helm, 1x Saradomin kiteshield, 1x Saradomin platebody, 1x Saradomin plateskirt                                           | 1x Saradomin armour set (sk)                                                                                                                                                         |       0 |
|                  Unpack zamorak armour set (lg) |                                                                              1x Zamorak armour set (lg)                                                                              | 1x Zamorak full helm, 1x Zamorak kiteshield, 1x Zamorak platebody, 1x Zamorak platelegs                                                                                              |       0 |
|                         Zamorak armour set (lg) |                                               1x Zamorak full helm, 1x Zamorak kiteshield, 1x Zamorak platebody, 1x Zamorak platelegs                                                | 1x Zamorak armour set (lg)                                                                                                                                                           |       0 |
|                  Unpack zamorak armour set (sk) |                                                                              1x Zamorak armour set (sk)                                                                              | 1x Zamorak full helm, 1x Zamorak kiteshield, 1x Zamorak platebody, 1x Zamorak plateskirt                                                                                             |       0 |
|                         Zamorak armour set (sk) |                                               1x Zamorak full helm, 1x Zamorak kiteshield, 1x Zamorak platebody, 1x Zamorak plateskirt                                               | 1x Zamorak armour set (sk)                                                                                                                                                           |       0 |
|             Unpack ancient rune armour set (lg) |                                                                           1x Ancient rune armour set (lg)                                                                            | 1x Ancient full helm, 1x Ancient kiteshield, 1x Ancient platebody, 1x Ancient platelegs                                                                                              |       0 |
|                    Ancient rune armour set (lg) |                                               1x Ancient full helm, 1x Ancient kiteshield, 1x Ancient platebody, 1x Ancient platelegs                                                | 1x Ancient rune armour set (lg)                                                                                                                                                      |       0 |
|             Unpack ancient rune armour set (sk) |                                                                           1x Ancient rune armour set (sk)                                                                            | 1x Ancient full helm, 1x Ancient kiteshield, 1x Ancient platebody, 1x Ancient plateskirt                                                                                             |       0 |
|                    Ancient rune armour set (sk) |                                               1x Ancient full helm, 1x Ancient kiteshield, 1x Ancient platebody, 1x Ancient plateskirt                                               | 1x Ancient rune armour set (sk)                                                                                                                                                      |       0 |
|             Unpack armadyl rune armour set (lg) |                                                                           1x Armadyl rune armour set (lg)                                                                            | 1x Armadyl full helm, 1x Armadyl kiteshield, 1x Armadyl platebody, 1x Armadyl platelegs                                                                                              |       0 |
|                    Armadyl rune armour set (lg) |                                               1x Armadyl full helm, 1x Armadyl kiteshield, 1x Armadyl platebody, 1x Armadyl platelegs                                                | 1x Armadyl rune armour set (lg)                                                                                                                                                      |       0 |
|             Unpack armadyl rune armour set (sk) |                                                                           1x Armadyl rune armour set (sk)                                                                            | 1x Armadyl full helm, 1x Armadyl kiteshield, 1x Armadyl platebody, 1x Armadyl plateskirt                                                                                             |       0 |
|                    Armadyl rune armour set (sk) |                                               1x Armadyl full helm, 1x Armadyl kiteshield, 1x Armadyl platebody, 1x Armadyl plateskirt                                               | 1x Armadyl rune armour set (sk)                                                                                                                                                      |       0 |
|              Unpack bandos rune armour set (lg) |                                                                            1x Bandos rune armour set (lg)                                                                            | 1x Bandos full helm, 1x Bandos kiteshield, 1x Bandos platebody, 1x Bandos platelegs                                                                                                  |       0 |
|                     Bandos rune armour set (lg) |                                                 1x Bandos full helm, 1x Bandos kiteshield, 1x Bandos platebody, 1x Bandos platelegs                                                  | 1x Bandos rune armour set (lg)                                                                                                                                                       |       0 |
|              Unpack bandos rune armour set (sk) |                                                                            1x Bandos rune armour set (sk)                                                                            | 1x Bandos full helm, 1x Bandos kiteshield, 1x Bandos platebody, 1x Bandos plateskirt                                                                                                 |       0 |
|                     Bandos rune armour set (sk) |                                                 1x Bandos full helm, 1x Bandos kiteshield, 1x Bandos platebody, 1x Bandos plateskirt                                                 | 1x Bandos rune armour set (sk)                                                                                                                                                       |       0 |
|                   Unpack dragon armour set (lg) |                                                                              1x Dragon armour set (lg)                                                                               | 1x Dragon full helm, 1x Dragon kiteshield, 1x Dragon platebody, 1x Dragon platelegs                                                                                                  |       0 |
|                          Dragon armour set (lg) |                                                 1x Dragon full helm, 1x Dragon kiteshield, 1x Dragon platebody, 1x Dragon platelegs                                                  | 1x Dragon armour set (lg)                                                                                                                                                            |       0 |
|                   Unpack dragon armour set (sk) |                                                                              1x Dragon armour set (sk)                                                                               | 1x Dragon full helm, 1x Dragon kiteshield, 1x Dragon platebody, 1x Dragon plateskirt                                                                                                 |       0 |
|                          Dragon armour set (sk) |                                                 1x Dragon full helm, 1x Dragon kiteshield, 1x Dragon platebody, 1x Dragon plateskirt                                                 | 1x Dragon armour set (sk)                                                                                                                                                            |       0 |
|                       Unpack verac's armour set |                                                                                1x Verac's armour set                                                                                 | 1x Verac's brassard, 1x Verac's flail, 1x Verac's helm, 1x Verac's plateskirt                                                                                                        |       0 |
|                              Verac's armour set |                                                    1x Verac's brassard, 1x Verac's flail, 1x Verac's helm, 1x Verac's plateskirt                                                     | 1x Verac's armour set                                                                                                                                                                |       0 |
|                      Unpack dharok's armour set |                                                                                1x Dharok's armour set                                                                                | 1x Dharok's greataxe, 1x Dharok's helm, 1x Dharok's platebody, 1x Dharok's platelegs                                                                                                 |       0 |
|                             Dharok's armour set |                                                 1x Dharok's greataxe, 1x Dharok's helm, 1x Dharok's platebody, 1x Dharok's platelegs                                                 | 1x Dharok's armour set                                                                                                                                                               |       0 |
|                      Unpack guthan's armour set |                                                                                1x Guthan's armour set                                                                                | 1x Guthan's chainskirt, 1x Guthan's helm, 1x Guthan's platebody, 1x Guthan's warspear                                                                                                |       0 |
|                             Guthan's armour set |                                                1x Guthan's chainskirt, 1x Guthan's helm, 1x Guthan's platebody, 1x Guthan's warspear                                                 | 1x Guthan's armour set                                                                                                                                                               |       0 |
|                       Unpack ahrim's armour set |                                                                                1x Ahrim's armour set                                                                                 | 1x Ahrim's hood, 1x Ahrim's robeskirt, 1x Ahrim's robetop, 1x Ahrim's staff                                                                                                          |       0 |
|                              Ahrim's armour set |                                                     1x Ahrim's hood, 1x Ahrim's robeskirt, 1x Ahrim's robetop, 1x Ahrim's staff                                                      | 1x Ahrim's armour set                                                                                                                                                                |       0 |
|                       Unpack torag's armour set |                                                                                1x Torag's armour set                                                                                 | 1x Torag's hammers, 1x Torag's helm, 1x Torag's platebody, 1x Torag's platelegs                                                                                                      |       0 |
|                              Torag's armour set |                                                   1x Torag's hammers, 1x Torag's helm, 1x Torag's platebody, 1x Torag's platelegs                                                    | 1x Torag's armour set                                                                                                                                                                |       0 |
|                       Unpack karil's armour set |                                                                                1x Karil's armour set                                                                                 | 1x Karil's coif, 1x Karil's crossbow, 1x Karil's leatherskirt, 1x Karil's leathertop                                                                                                 |       0 |
|                              Karil's armour set |                                                 1x Karil's coif, 1x Karil's crossbow, 1x Karil's leatherskirt, 1x Karil's leathertop                                                 | 1x Karil's armour set                                                                                                                                                                |       0 |
|                  Unpack inquisitor's armour set |                                                                              1x Inquisitor's armour set                                                                              | 1x Inquisitor's great helm, 1x Inquisitor's hauberk, 1x Inquisitor's plateskirt                                                                                                      |       0 |
|                         Inquisitor's armour set |                                                   1x Inquisitor's great helm, 1x Inquisitor's hauberk, 1x Inquisitor's plateskirt                                                    | 1x Inquisitor's armour set                                                                                                                                                           |       0 |
|                     Unpack justiciar armour set |                                                                               1x Justiciar armour set                                                                                | 1x Justiciar chestguard, 1x Justiciar faceguard, 1x Justiciar legguards                                                                                                              |       0 |
|                            Justiciar armour set |                                                       1x Justiciar chestguard, 1x Justiciar faceguard, 1x Justiciar legguards                                                        | 1x Justiciar armour set                                                                                                                                                              |       0 |
|                      Unpack obsidian armour set |                                                                                1x Obsidian armour set                                                                                | 1x Obsidian helmet, 1x Obsidian platebody, 1x Obsidian platelegs                                                                                                                     |       0 |
|                             Obsidian armour set |                                                           1x Obsidian helmet, 1x Obsidian platebody, 1x Obsidian platelegs                                                           | 1x Obsidian armour set                                                                                                                                                               |       0 |
|                   Unpack dragonstone armour set |                                                                              1x Dragonstone armour set                                                                               | 1x Dragonstone boots, 1x Dragonstone full helm, 1x Dragonstone gauntlets, 1x Dragonstone platebody, 1x Dragonstone platelegs                                                         |       0 |
|                          Dragonstone armour set |                             1x Dragonstone boots, 1x Dragonstone full helm, 1x Dragonstone gauntlets, 1x Dragonstone platebody, 1x Dragonstone platelegs                             | 1x Dragonstone armour set                                                                                                                                                            |       0 |
|                       Unpack initiate harness m |                                                                                1x Initiate harness m                                                                                 | 1x Initiate cuisse, 1x Initiate hauberk, 1x Initiate sallet                                                                                                                          |       0 |
|                              Initiate harness m |                                                             1x Initiate cuisse, 1x Initiate hauberk, 1x Initiate sallet                                                              | 1x Initiate harness m                                                                                                                                                                |       0 |
|                      Unpack proselyte harness m |                                                                                1x Proselyte harness m                                                                                | 1x Proselyte cuisse, 1x Proselyte hauberk, 1x Proselyte sallet                                                                                                                       |       0 |
|                             Proselyte harness m |                                                            1x Proselyte cuisse, 1x Proselyte hauberk, 1x Proselyte sallet                                                            | 1x Proselyte harness m                                                                                                                                                               |       0 |
|                      Unpack proselyte harness f |                                                                                1x Proselyte harness f                                                                                | 1x Proselyte hauberk, 1x Proselyte sallet, 1x Proselyte tasset                                                                                                                       |       0 |
|                             Proselyte harness f |                                                            1x Proselyte hauberk, 1x Proselyte sallet, 1x Proselyte tasset                                                            | 1x Proselyte harness f                                                                                                                                                               |       0 |
